[MW-READER] Gap at 2025-10-15T02:22:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T02:28:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T02:36:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T02:44:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T02:50:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T03:06:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T03:23:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T03:31:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T03:58:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T04:04:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T04:17:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T04:20:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T04:34:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T04:45:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T04:51:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T05:07:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T05:11:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T05:21:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T05:26:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T05:34:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T05:41:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T05:58:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T06:01:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T06:04:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T06:15:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T06:23:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T06:30:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T06:40:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T06:43:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T06:46:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T06:49:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T06:58:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T07:02:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T07:07:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T07:12:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T07:17:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T07:28:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T07:33:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T07:40:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T07:45:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T07:59:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T08:06:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T08:22:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T08:32:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T08:40:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T08:56:00.000Z: no bar data available, skipped
[MW-READER] Gap at 2025-10-15T09:13:00.000Z: no bar data available, skipped
